55
   56271872.00	the
   33950064.00	of
   29944184.00	and
   25956096.00	to
   17420636.00	in
   11764797.00	i
   11073318.00	that
   10078245.00	was
    8799755.00	his
    8397205.00	he
    8058110.00	it
    7725512.00	with
    7557477.00	is
    7097981.00	for
    7037543.00	as
    6139336.00	had
    6048903.00	you
    5741803.00	not
    5662527.00	be
    5202501.00	her
    5113263.00	on
    5091841.00	at
    5061050.00	by
    4580906.00	which
    4346500.00	have
    4228287.00	or
    4108111.00	from
    4015425.00	this
    3971997.00	him
    3894211.00	but
    3703342.00	all
    3415846.00	she
    3340398.00	they
    3323884.00	were
    3277699.00	my
    3224178.00	are
    3027134.00	me
    2832569.00	one
    2820265.00	their
    2802481.00	so
    2641417.00	an
    2637136.00	said
    2509917.00	them
    2491655.00	we
    2472663.00	who
    2400858.00	would
    2357654.00	been
    2320022.00	will
    2241145.00	no
    1980046.00	when
    1961200.00	there
    1951102.00	if
    1899787.00	more
    1875351.00	out
    9991792712.00
    paris
